Name,Price,Role,Country,Team
Sanjay Yadav,Rs. 20.00 Lac,All Rounder,India,SRH
Pat Cummins,Rs. 15.50 Cr,All Rounder,Australia,KKR
Sunil Narine,Rs. 12.50 Cr,Bowler,West Indies,KKR
Andre Russell,Rs. 8.50 Cr,All Rounder,West Indies,KKR
Dinesh Karthik,Rs. 7.40 Cr,Wicket Keeper,India,KKR
Kuldeep Yadav,Rs. 5.80 Cr,Bowler,India,KKR
Eoin Morgan,Rs. 5.25 Cr,Batsman,England,KKR
Varun Chakaravarthy,Rs. 4.00 Cr,All Rounder,India,KKR
Nitish Rana,Rs. 3.40 Cr,All Rounder,India,KKR
Kamlesh Nagarkoti,Rs. 3.20 Cr,All Rounder,India,KKR
Shivam Mavi,Rs. 3.00 Cr,All Rounder,India,KKR
Shubman Gill,Rs. 1.80 Cr,Batsman,India,KKR
Lockie Ferguson,Rs. 1.60 Cr,Bowler,New Zealand,KKR
Tom Banton,Rs. 1.00 Cr,Batsman,England,KKR
Rinku Singh,Rs. 80.00 Lac,Batsman,India,KKR
Harry Gurney,Rs. 75.00 Lac,Bowler,England,KKR
Rahul Tripathi,Rs. 60.00 Lac,Batsman,India,KKR
Prasidh Krishna,Rs. 20.00 Lac,Bowler,India,KKR
Sandeep Warrier,Rs. 20.00 Lac,Bowler,India,KKR
Siddhesh Lad,Rs. 20.00 Lac,Batsman,India,KKR
M Siddharth,Rs. 20.00 Lac,Bowler,India,KKR
Chris Green,Rs. 20.00 Lac,All Rounder,Australia,KKR
Nikhil Naik,Rs. 20.00 Lac,Wicket Keeper,India,KKR
Pravin Tambe,Rs. 20.00 Lac,Bowler,India,KKR
Rohit Sharma,Rs. 15.00 Cr,Batsman,India,MI
Hardik Pandya,Rs. 11.00 Cr,All Rounder,India,MI
Krunal Pandya,Rs. 8.80 Cr,All Rounder,India,MI
Nathan Coulter-Nile,Rs. 8.00 Cr,Bowler,Australia,MI
Jasprit Bumrah,Rs. 7.00 Cr,Bowler,India,MI
Ishan Kishan,Rs. 6.20 Cr,Wicket Keeper,India,MI
Kieron Pollard,Rs. 5.40 Cr,All Rounder,West Indies,MI
Surya Kumar Yadav,Rs. 3.20 Cr,Batsman,India,MI
Trent Boult,Rs. 3.20 Cr,Bowler,New Zealand,MI
Quinton De Kock,Rs. 2.80 Cr,Wicket Keeper,South Africa,MI
Lasith Malinga,Rs. 2.00 Cr,Bowler,Sri Lanka,MI
Sherfane Rutherford,Rs. 2.00 Cr,All Rounder,West Indies,MI
Chris Lynn,Rs. 2.00 Cr,Batsman,Australia,MI
Rahul Chahar,Rs. 1.90 Cr,Bowler,India,MI
Mitchell McClenaghan,Rs. 1.00 Cr,Bowler,New Zealand,MI
Anmolpreet Singh,Rs. 80.00 Lac,Batsman,India,MI
Dhawal Kulkarni,Rs. 75.00 Lac,Bowler,India,MI
Jayant Yadav,Rs. 50.00 Lac,All Rounder,India,MI
Saurabh Tiwary,Rs. 50.00 Lac,Batsman,India,MI
Aditya Tare,Rs. 20.00 Lac,Wicket Keeper,India,MI
Anukul Roy,Rs. 20.00 Lac,All Rounder,India,MI
Mohsin Khan,Rs. 20.00 Lac,Bowler,India,MI
Digvijay Deshmukh,Rs. 20.00 Lac,All Rounder,India,MI
Prince Balwant Rai Singh,Rs. 20.00 Lac,All Rounder,India,MI
KL Rahul,Rs. 11.00 Cr,Batsman,India,KXIP
Glenn Maxwell,Rs. 10.75 Cr,All Rounder,Australia,KXIP
Sheldon Cottrell,Rs. 8.50 Cr,Bowler,West Indies,KXIP
Gowtham Krishnappa,Rs. 6.20 Cr,Bowler,India,KXIP
Karun Nair,Rs. 5.60 Cr,Batsman,India,KXIP
Mohammad Shami,Rs. 4.80 Cr,Bowler,India,KXIP
Nicholas Pooran,Rs. 4.20 Cr,Wicket Keeper,West Indies,KXIP
Mujeeb Zadran,Rs. 4.00 Cr,Bowler,Afghanistan,KXIP
Chris Jordan,Rs. 3.00 Cr,All Rounder,England,KXIP
Chris Gayle,Rs. 2.00 Cr,Batsman,West Indies,KXIP
Ravi Bishnoi,Rs. 2.00 Cr,Bowler,India,KXIP
Mandeep Singh,Rs. 1.40 Cr,Batsman,India,KXIP
Mayank Agarwal,Rs. 1.00 Cr,Batsman,India,KXIP
Hardus Viljoen,Rs. 75.00 Lac,Bowler,South Africa,KXIP
Prabhsimran Singh,Rs. 55.00 Lac,Wicket Keeper,India,KXIP
Deepak Hooda,Rs. 50.00 Lac,All Rounder,India,KXIP
James Neesham,Rs. 50.00 Lac,All Rounder,New Zealand,KXIP
Darshan Nalkande,Rs. 30.00 Lac,All Rounder,India,KXIP
Sarfaraz Khan,Rs. 25.00 Lac,All Rounder,India,KXIP
Arshdeep Singh,Rs. 20.00 Lac,Bowler,India,KXIP
Harpreet Brar,Rs. 20.00 Lac,All Rounder,India,KXIP
Jagadeesha Suchith,Rs. 20.00 Lac,Bowler,India,KXIP
Murugan Ashwin,Rs. 20.00 Lac,Bowler,India,KXIP
Ishan Porel,Rs. 20.00 Lac,Bowler,India,KXIP
Tajinder Dhillon,Rs. 20.00 Lac,All Rounder,India,KXIP
Ben Stokes,Rs. 12.50 Cr,All Rounder,England,RR
Steve Smith,Rs. 12.50 Cr,Batsman,Australia,RR
Sanju Samson,Rs. 8.00 Cr,Wicket Keeper,India,RR
Jofra Archer,Rs. 7.20 Cr,All Rounder,England,RR
Jos Buttler,Rs. 4.40 Cr,Wicket Keeper,England,RR
Ankit Singh Rajpoot,Rs. 3.00 Cr,Bowler,India,RR
Rahul Tewatia,Rs. 3.00 Cr,All Rounder,India,RR
Robin Uthappa,Rs. 3.00 Cr,Batsman,India,RR
Jaydev Unadkat,Rs. 3.00 Cr,Bowler,India,RR
Varun Aaron,Rs. 2.40 Cr,Bowler,India,RR
Yashasvi Jaiswal,Rs. 2.40 Cr,All Rounder,India,RR
Mayank Markande,Rs. 2.00 Cr,Bowler,India,RR
Kartik Tyagi,Rs. 1.30 Cr,Bowler,India,RR
